Identifier,City,Province/Territory,Calculated Exposure Day 7,Radon(mrem),External Terrestrial (mrem),Cosmic (mrem),Ingestion (mrem),Total (mrem)
6c107aaf-de6a-404a-9864-a8a708a852e4,Brampton,Ontario,0.057692308,188.7,17.8,35,30.6,272.0423077
af8ce2f7-8567-4534-bbf7-7b2892b535e0,Brampton,Ontario,0.05769,188.7,17.8,35,30.6,272.04231
70aa09eb-f08d-4946-b502-3c623c9c6b2b,Winnipeg,Manitoba,0.0714,62.9,17.6,40,30.6,151.0286
77441e8f-6665-41b3-bcc5-15e6ee310d6b,Headingley,Manitoba,0.0952381,62.9,17.6,40,30.6,151.0047619
7cda7462-6d8d-439c-b482-5bd6d768352a,Calgary,Alberta,0.03773585,314.5,27.2,45,30.6,417.2622642
7cda7462-6d8d-439c-b482-5bd6d768352a,Calgary,Alberta,0.11320755,314.5,27.2,45,30.6,417.1867925
7cda7462-6d8d-439c-b482-5bd6d768352a,Calgary,Alberta,0.075471698,314.5,27.2,45,30.6,417.2245283
8163f602-9db5-4c01-9045-d7d997315c82,London,Ontario,0.073,314.5,17.8,35,30.6,397.827
a055e33c-887f-4e89-a506-ceeb79adfc53,London,Ontario,0.214285714,314.5,17.8,35,30.6,397.6857143
849d5554-9ed3-40da-8365-83c8a0c93a0f,Deep River,Ontario,0.114754,188.7,35,24,30.6,278.185246
89d487a5-bd45-45b6-8118-13953c307150,Belleville,Ontario,0.0392156,314.5,17.8,35,30.6,397.8607844
92f09f90-a005-4db9-9e3d-5fa148ac56a5,Terrace Bay,Ontario,0.0448,314.5,17.6,40,30.6,402.6552
959484ae-c895-403a-83df-59404e44b9f6,Petawawa,Ontario,0.07142858,62.9,35,24,30.6,152.4285714
96a7eb3b-bbb4-44f7-80ea-951ffc86b3ee,Lachine,Quebec,0.104167,314.5,27.8,37.5,30.6,410.295833
993ac4ae-4c22-4a0c-9ef4-b9c6aee0be2d,Ottawa (Cumberland),Ontario,0.085106667,62.9,24,35,30.6,152.4148933
99b2bc9a-81a8-40d1-af3c-2c7fd27dae2c,Grimsby,Ontario,0.06,314.5,17.8,35,30.6,397.84
aa67859e-3213-438f-8623-77dca6789a1d,LaSalle,Quebec,0.083333334,314.5,27.8,37.5,30.6,410.3166667
add8d275-7362-47d2-8a9e-3d9f2d310bab,Whitchurch-Stouffville,Ontario,0.0545,188.7,17.8,35,30.6,272.0455
b0d40d82-757c-46da-af44-e9306f2a3aea,Sechelt,British Columbia,0.06,62.9,10.5,45,30.6,148.94
d4f925c1-44d8-4209-902f-df2f6d9b6f50,Sechelt,British Columbia,0.08,62.9,10.5,45,30.6,148.92
d5f82152-5e9b-4112-86a0-4471b05b6f82,Sechelt,British Columbia,0.06,62.9,10.5,45,30.6,148.94
dad2387a-e40a-4a22-8ac7-1ff0c893d2da,Sechelt,British Columbia,0.08,62.9,10.5,45,30.6,148.92
dad2387a-e40a-4a22-8ac7-1ff0c893d2da,Sechelt,British Columbia,0.06,62.9,10.5,45,30.6,148.94
ba7cbb6f-bc3d-43f6-bdff-de28e8c058c0,Sherbrooke,Quebec,0.023255814,62.9,27.8,37.5,30.6,158.7767442
bab46cbd-34c0-4420-b1dc-5e6d035164d4,Dryden,Ontario,0.1346,314.5,17.6,40,30.6,402.5654
c10907a9-2918-4e39-98d1-6d8dcee629c0,Vancouver,British Columbia,0.0567,188.7,10.5,45,30.6,274.7433
e053901a-f834-44f5-93d0-e2b88c9b7cdc,Vancouver,British Columbia,0.05231578,188.7,10.5,45,30.6,274.7476842
e053901a-f834-44f5-93d0-e2b88c9b7cdc,Vancouver,British Columbia,0.017543859,188.7,10.5,45,30.6,274.7824561
